algorithm,message_size,avg_time_us,std_time_us,median_time_us,min_time_us,max_time_us,throughput_mbps,estimated_cycles,cycles_per_byte,memory_delta_kb,tag_size,iterations
CMAC-AES-128,2,3.988039999501325,1.621244523000838,3.6999999792897142,3.4999999343199306,111.10000002645393,0.4782671771223458,11964.119998503975,5982.059999251987,476.0,16,10000
HMAC-SHA256,2,2.6682199996344025,1.3058884201845566,2.300000005561742,2.1999999262334313,54.20000002231973,0.7148393434851112,8004.659998903207,4002.3299994516037,196.0,32,10000
Poly1305,2,4.673909999382886,1.6390329330764564,4.300000000512227,4.099999955542444,76.50000009107316,0.40808415931507763,14021.729998148658,7010.864999074329,252.0,16,10000
GMAC,2,2.671889999760424,1.681561653641865,2.399999971203215,2.200000039920269,87.69999999458378,0.7138574690513169,8015.669999281272,4007.834999640636,4.0,16,10000
KMAC256,2,14.418220000436577,2.2684780431192286,14.100000043981709,13.100000046506466,82.49999996223778,0.1322873858738975,43254.660001309734,21627.330000654867,24.0,8,10000
SipHash-2-4,2,1.1954800002854427,0.12868265467376186,1.2000000424450263,1.0999999631167157,8.200000024771725,1.5954667851884479,3586.440000856328,1793.220000428164,4.0,8,10000
CMAC-AES-128,4,4.12048999965009,1.7838187576947853,3.799999944931187,3.4999999343199306,73.59999995060207,0.9257872888780078,12361.46999895027,3090.3674997375674,4.0,16,10000
HMAC-SHA256,4,2.7205800000615454,3.4986575315755677,2.399999971203215,2.1999999262334313,325.9000000070955,1.4021632392867343,8161.740000184636,2040.435000046159,4.0,32,10000
Poly1305,4,4.781740000078116,1.722063623719158,4.300000000512227,4.099999955542444,69.70000004002941,0.7977634220101222,14345.220000234349,3586.305000058587,0.0,16,10000
GMAC,4,2.6320499999542335,1.1367581183660518,2.399999971203215,2.1999999262334313,58.59999998847343,1.4493255316925326,7896.149999862701,1974.0374999656754,0.0,16,10000
KMAC256,4,14.611420000380804,6.460900858627049,14.100000043981709,13.199999898461101,584.3999999797234,0.2610764227929648,43834.260001142415,10958.565000285604,0.0,8,10000
SipHash-2-4,4,1.2975499997196493,0.9064177600501255,1.2000000424450263,1.0999999631167157,64.50000000768341,2.9399231370268657,3892.6499991589485,973.1624997897371,4.0,8,10000
CMAC-AES-128,8,3.9408600007391215,1.8856484367018291,3.6999999792897142,3.4999999343199306,94.49999993194069,1.935971978151744,11822.580002217364,1477.8225002771705,4.0,16,10000
HMAC-SHA256,8,2.6436700002477664,1.2483075568219355,2.300000005561742,2.1999999262334313,58.100000046579225,2.885910318055948,7931.010000743298,991.3762500929123,4.0,32,10000
Poly1305,8,4.7507800006656,1.7624670269956417,4.300000000512227,4.099999955542444,94.90000002188026,1.6059246124175603,14252.3400019968,1781.5425002496,4.0,16,10000
GMAC,8,2.639039999075976,3.1882465979265215,2.399999971203215,2.1999999262334313,276.39999996154074,2.8909734350071727,7917.119997227927,989.6399996534909,0.0,16,10000
KMAC256,8,14.45089999974698,3.0511893035508537,13.999999964653398,13.299999977789412,105.20000000724394,0.5279528978391368,43352.69999924094,5419.0874999051175,4.0,8,10000
SipHash-2-4,8,1.2656999999762775,0.8616308665838716,1.2000000424450263,1.0999999631167157,77.19999996425031,6.027806377019036,3797.099999928832,474.637499991104,8.0,8,10000
CMAC-AES-128,16,3.934139999580566,1.330324561039751,3.6999999792897142,3.4999999343199306,58.80000003344321,3.8785577188729428,11802.419998741696,737.651249921356,0.0,16,10000
HMAC-SHA256,16,2.5875400000813897,1.0429081995196305,2.300000005561742,2.1999999262334313,48.59999990003416,5.897025383963163,7762.620000244169,485.1637500152606,0.0,32,10000
Poly1305,16,4.830799999695046,1.3987912713212054,4.500000045482011,4.099999955542444,73.70000002993038,3.1586464071092246,14492.399999085137,905.7749999428211,4.0,16,10000
GMAC,16,2.7755599997135505,1.5234115549722689,2.6000000161729986,2.200000039920269,70.8999999687876,5.497553309629326,8326.67999914065,520.4174999462906,0.0,16,10000
KMAC256,16,14.665490000049886,3.3503785692818475,14.500000020234438,13.199999898461101,179.59999991035147,1.0404554544340554,43996.47000014965,2749.7793750093533,0.0,8,10000
SipHash-2-4,16,1.2156500026890171,0.20419169190282793,1.2000000424450263,1.0999999631167157,17.70000005762995,12.551959057909404,3646.950008067052,227.93437550419074,0.0,8,10000
